"","x"
"542","23/12/1982 (evening)"
"543","24/12/1982 (morning)"
"544","26/12/1982 (evening)"
"545","28/12/1982 (morning)"
"546","29/12/1982 (evening)"
"547","31/12/1982 (morning)"
"548","01/01/1983 (evening)"
"549","03/01/1983 (morning)"
"550","04/01/1983 (evening)"
"551","06/01/1983 (morning)"
"552","07/01/1983 (evening)"
"553","09/01/1983 (morning)"
"554","11/01/1983 (evening)"
"555","12/01/1983 (morning)"
"556","14/01/1983 (evening)"
"557","15/01/1983 (morning)"
"558","17/01/1983 (evening)"
"559","18/01/1983 (morning)"
"560","20/01/1983 (evening)"
"561","21/01/1983 (morning)"
"562","23/01/1983 (evening)"
"563","24/01/1983 (morning)"
"564","26/01/1983 (evening)"
"565","28/01/1983 (morning)"
"566","29/01/1983 (evening)"
"567","31/01/1983 (morning)"
"568","01/02/1983 (evening)"
"569","03/02/1983 (morning)"
"570","04/02/1983 (evening)"
"571","06/02/1983 (morning)"
"572","08/02/1983 (evening)"
"573","09/02/1983 (morning)"
"574","11/02/1983 (evening)"
"575","12/02/1983 (morning)"
"576","14/02/1983 (evening)"
"577","15/02/1983 (morning)"
"578","17/02/1983 (evening)"
"579","18/02/1983 (morning)"
"580","20/02/1983 (evening)"
"581","21/02/1983 (morning)"
"582","23/02/1983 (evening)"
"583","25/02/1983 (morning)"
"584","26/02/1983 (evening)"
"585","28/02/1983 (morning)"
"586","01/03/1983 (evening)"
"587","03/03/1983 (morning)"
"588","04/03/1983 (evening)"
"589","06/03/1983 (morning)"
"590","07/03/1983 (evening)"
"591","09/03/1983 (morning)"
"592","11/03/1983 (evening)"
"593","12/03/1983 (morning)"
"594","14/03/1983 (evening)"
"595","15/03/1983 (morning)"
"596","17/03/1983 (evening)"
"597","18/03/1983 (morning)"
"598","20/03/1983 (evening)"
"599","21/03/1983 (morning)"
"600","23/03/1983 (evening)"
"601","25/03/1983 (morning)"
"602","26/03/1983 (evening)"
"603","28/03/1983 (morning)"
"604","29/03/1983 (evening)"
"605","31/03/1983 (morning)"
"606","01/09/1983 (evening)"
"607","03/09/1983 (morning)"
"608","05/09/1983 (evening)"
"609","06/09/1983 (morning)"
"610","08/09/1983 (evening)"
"611","09/09/1983 (morning)"
"612","11/09/1983 (evening)"
"613","12/09/1983 (morning)"
"614","14/09/1983 (evening)"
"615","15/09/1983 (morning)"
"616","17/09/1983 (evening)"
"617","19/09/1983 (morning)"
"618","20/09/1983 (evening)"
"619","22/09/1983 (morning)"
"620","23/09/1983 (evening)"
"621","25/09/1983 (morning)"
"622","26/09/1983 (evening)"
"623","28/09/1983 (morning)"
"624","29/09/1983 (evening)"
"625","01/10/1983 (morning)"
"626","03/10/1983 (evening)"
"627","04/10/1983 (morning)"
"628","06/10/1983 (evening)"
"629","07/10/1983 (morning)"
"630","09/10/1983 (evening)"
"631","10/10/1983 (morning)"
"632","12/10/1983 (evening)"
"633","13/10/1983 (morning)"
"634","15/10/1983 (evening)"
"635","17/10/1983 (morning)"
"636","18/10/1983 (evening)"
"637","20/10/1983 (morning)"
"638","21/10/1983 (evening)"
"639","23/10/1983 (morning)"
"640","24/10/1983 (evening)"
"641","26/10/1983 (morning)"
"642","27/10/1983 (evening)"
"643","29/10/1983 (morning)"
"644","30/10/1983 (evening)"
"645","01/11/1983 (morning)"
"646","03/11/1983 (evening)"
"647","04/11/1983 (morning)"
"648","06/11/1983 (evening)"
"649","07/11/1983 (morning)"
"650","09/11/1983 (evening)"
"651","10/11/1983 (morning)"
"652","12/11/1983 (evening)"
"653","13/11/1983 (morning)"
"654","15/11/1983 (evening)"
"655","17/11/1983 (morning)"
"656","18/11/1983 (evening)"
"657","20/11/1983 (morning)"
"658","21/11/1983 (evening)"
"659","23/11/1983 (morning)"
"660","24/11/1983 (evening)"
"661","26/11/1983 (morning)"
"662","27/11/1983 (evening)"
"663","29/11/1983 (morning)"
"664","01/12/1983 (evening)"
"665","02/12/1983 (morning)"
"666","04/12/1983 (evening)"
"667","05/12/1983 (morning)"
"668","07/12/1983 (evening)"
"669","08/12/1983 (morning)"
"670","10/12/1983 (evening)"
"671","11/12/1983 (morning)"
"672","13/12/1983 (evening)"
"673","14/12/1983 (morning)"
"674","16/12/1983 (evening)"
"675","18/12/1983 (morning)"
"676","19/12/1983 (evening)"
"677","21/12/1983 (morning)"
"678","22/12/1983 (evening)"
"679","24/12/1983 (morning)"
"680","25/12/1983 (evening)"
"681","27/12/1983 (morning)"
"682","28/12/1983 (evening)"
"683","30/12/1983 (morning)"
"684","01/01/1984 (evening)"
"685","02/01/1984 (morning)"
"686","04/01/1984 (evening)"
"687","05/01/1984 (morning)"
"688","07/01/1984 (evening)"
"689","08/01/1984 (morning)"
"690","10/01/1984 (evening)"
"691","11/01/1984 (morning)"
"692","13/01/1984 (evening)"
"693","15/01/1984 (morning)"
"694","16/01/1984 (evening)"
"695","18/01/1984 (morning)"
"696","19/01/1984 (evening)"
"697","21/01/1984 (morning)"
"698","22/01/1984 (evening)"
"699","24/01/1984 (morning)"
"700","25/01/1984 (evening)"
"701","27/01/1984 (morning)"
"702","29/01/1984 (evening)"
"703","30/01/1984 (morning)"
"704","01/02/1984 (evening)"
"705","02/02/1984 (morning)"
"706","04/02/1984 (evening)"
"707","05/02/1984 (morning)"
"708","07/02/1984 (evening)"
"709","08/02/1984 (morning)"
